"","Peso.Ave.S1","Peso.Ave.S4","Peso.Ave.S10","Peso.Ave.S14","X..Uniformidad.S1","X..Uniformidad.S4","X..Uniformidad.S10","X..Uniformidad.S14","gr.ave.dia..S1","gr.ave.dia..S4","gr.ave.dia..S10","gr.ave.dia..S14","Cosm.Acum.S1","Cosm.Acum.S4","Cosm.Acum.S10","Cosm.Acum.S14","Mort.Selc.Acum.S1","Mort.Selc.Acum.S4","Mort.Selc.Acum.S10","Mort.Selc.Acum.S14","Fecha.Encaseta","Sistema.Levante","Clima.Levante","PX.S25","PX.S40","PX.S72","PX.S80","HAA.S25","HAA.S40","HAA.S72","HAA.S80","gr.ave.dia..S25","gr.ave.dia..S40","gr.ave.dia..S72","gr.ave.dia..S80","Conv.Acu.S72","Conv.Acu.S80","Mort.selcc.Acu..S25","Mort.selcc.Acu..S40","Mort.selcc.Acu..S72","Mort.selcc.Acu..S80","gr.Hvo.S72","gr.Hvo.S80","G.P.S25","Peso.Hvo..Prom.Acu..S25","Peso.Hvo..Prom.Acu..S40","Peso.Hvo..Prom.Acu..S72","Peso.Hvo..Prom.Acu..S80","Masa.Hvo.S72","Masa.Hvo.S80","Sistema.Produccion","Clima.Produccion"
"EMS-10-170918",84,274,856,1199,83.6,75,82.7,86.9,12,34.6,66.3,63.9,83.9,650.6,2677,4632,0.26,0.89,1.09,1.36,"2018-09-17","Piso","Cálido",94.4,90.6,NA,NA,26.8,124,NA,NA,99,105,NA,NA,NA,NA,0.71,1.96,NA,NA,NA,NA,16.1,49.3,54,0,0,NA,NA,"Batería Automática","Cálido"
"EMS-12-011019",82,288,955,1258,91.3,73,82,82.9,14.8,26.2,57.3,63.7,103.4,553,2410.7,4152.2,0.16,0.24,0.32,0.47,"2019-10-01","Batería Automática","Cálido",95.8,92.1,NA,NA,37.5,131.7,NA,NA,96,105,NA,NA,NA,NA,1.12,2.57,NA,NA,NA,NA,2.6,50.3,55.1,0,0,NA,NA,"Batería Automática","Cálido"
"EMS-184-270818",72,267,867,1227,82,82,85,87,11.1,26.2,57.4,76.9,77.6,549.3,2396.4,4446.3,0.29,1.43,2.07,2.22,"2018-08-27","Piso","Frío",95.7,93.8,79.5,77.2,22.3,122.3,313.6,355,110,113,111,111,1.543,1.558,0.26,1.26,6.66,7.89,128.583,129.833,18.8,55.4,59.9,61.8,62.2,19.4,22.1,"Batería Automática","Frío"
"EMS-186-200519",73,274,904,1272,82,83,86,87,8.6,31.2,61.5,73.6,60.5,535.9,2580.4,4595.8,0.34,0.55,1.07,1.19,"2019-05-20","Piso","Frío",96.9,94.3,82.6,78,33.2,132.6,324.6,365.9,113,108,113,111,1.492,1.514,0.52,1.68,6.46,8.56,124.333,126.167,9.8,52.2,57.6,60.4,60.8,19.6,22.2,"Batería Automática","Frío"
"EMS-E008-021017",76,276,777,1135,87.5,82.3,91,95,9,25.8,63.2,79.9,63.2,514.2,2360.4,4428.3,0.27,0.39,0.61,0.76,"2017-10-02","Piso","Cálido",82.5,82.5,82.9,80.3,16.9,107.9,295.8,338.6,83,105,107,99,1.48,1.483,0.61,2.33,4.42,5.65,123.333,123.583,16.8,49.7,55.8,58.5,58.8,17.3,19.9,"Batería Automática","Cálido"
"EMS-E009-270318",84,274,856,1199,83.6,75,82.7,86.9,11.4,30.9,60,76.9,79.6,606.7,2456.9,4402.9,0.25,0.53,0.69,1.57,"2018-03-27","Piso","Cálido",82.1,90.1,85.2,82.3,16.8,108.5,294.9,338.9,91,104,115,118,1.533,1.548,0.46,1.52,5.57,6.63,127.75,129,22.1,47.9,54.9,57.8,58.3,17,19.8,"Batería Automática","Cálido"
"GLL-26-161118",82,298,876,1217,88,92,85,84,9.6,29.8,56.3,67.2,67.1,563,2446.3,4238.5,0.29,0.6,1.19,1.39,"2018-11-16","Piso","Frío",93.9,NA,NA,NA,29.4,NA,NA,NA,96,NA,NA,NA,NA,NA,0.73,NA,NA,NA,NA,NA,11.1,49.6,0,0,0,NA,NA,"Temp","Cálido"
"GMT-554-230617",80,219,690,1080,82,75,65,78,10.8,22.6,4.4,54.9,75.4,456.6,1588.8,3459.2,0.18,0.86,2.39,14.33,"2017-06-23","Piso","Cálido",82.85,90.4,83.85,79.15,17.2,107.4,271.6,307.8,108,111.5,105.5,108,1.6205,1.619,1.87,9.875,19.04,20.92,135.0415,134.9165,5.15,48.55,56.25,60.05,60.6,16.3,18.65,"Piso","Medio"
"GMT-555 GMT-200817",79,273,855,1179,71,63,76,86,17,23.8,43.9,87.6,119.3,596.9,2266.5,4420.1,0.21,0.32,0.53,0.74,"2017-08-20","Batería Automática","Cálido",93.1,90,80.8,77,25.4,121.2,295.7,334.3,115,115,109,106,1.638,1.641,1.05,3.93,11.62,13.73,136.5,136.75,10.4,52.2,56.8,60.7,61.2,18,20.5,"Piso","Medio"
"GMT-555-200817",79,273,855,1179,71,63,76,86,17,23.8,43.9,87.6,119.3,596.9,2266.5,4420.1,0.21,0.32,0.53,0.74,"2017-08-20","Batería Automática","Cálido",86.4,89.8,80.9,NA,18.3,101.7,253.9,NA,108,118,109,NA,1.755,NA,3.18,11.7,25.84,NA,146.25,NA,7.6,51.2,54.9,58,0,14.7,NA,"Piso","Cálido"
"GMT-556-131017",80,346,914,1299,81,84,87,89,18.7,29.8,52.7,76.2,130.6,598.9,2548.7,4534.2,0.17,0.73,0.82,1.01,"2017-10-13","Piso","Cálido",84.7,89.7,63.4,70.6,29.3,118.8,280.6,310.1,115,115,88,98,1.664,1.666,3.14,8.68,23.45,31.9,138.667,138.833,4.2,49.9,55.2,57.9,58.4,16.2,18.1,"Piso","Cálido"
"GMT-557-131017",85,284,888,1226,81,73,87,91,11.9,22.8,60,60.7,83.5,492.9,2401.1,4250.5,0.13,0.75,1.01,1.7,"2017-10-13","Piso","Cálido",91.3,90.1,83.6,77.7,22.8,117,290.6,327.2,110,117,112,114,1.641,1.646,0.95,4.72,16.49,20.71,136.75,137.167,16.5,45.8,54.8,58.6,59,17,19.3,"Piso","Medio"
